Date,Average Price,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,Type,Production
2017-05-21,2.16,4934.21,7.22,843.74,0,4083.25,1050,3033.25,0,1,6.01
2017-01-01,1.46,164137.04,31267.65,65430.27,6.16,67432.96,50963.98,16468.98,0,1,6.01
2017-08-20,1.71,13896.65,51.92,5013.57,0,8831.16,8824.49,6.67,0,1,6.01
2017-04-02,0.83,25025,303.25,4768.12,0,19953.63,996.03,18957.6,0,1,6.01
2017-11-19,1.63,21044.41,5229.44,295.54,0,15519.43,15488.25,31.18,0,1,6.01
2017-07-02,1.44,25731.81,11850.59,2544.28,61.31,11275.63,551.17,10724.46,0,1,6.01
2017-02-12,0.82,18985.89,766.98,5919.64,0,12299.27,1146.24,11153.03,0,1,6.01
2017-10-01,1.72,180253.26,3467.06,52244.98,0,124087.1,109113,14974.1,0,1,6.01
2017-05-14,2.13,10398.91,282.24,444.34,11.48,9660.85,9660.85,0,0,1,6.01
2017-12-31,1.36,25590.34,9524.47,114.02,0,15951.85,15635.18,316.67,0,1,6.01
2017-08-13,1.41,8976.09,139.95,1290.13,0,7523.68,5339.72,2183.96,0,1,6.01
2017-03-26,1.47,4455.27,682.39,192.24,10.18,3570.46,1867.31,1703.15,0,1,6.01
2017-11-12,1.98,62337.67,8390.23,17805.25,0,36142.19,36097.73,44.46,0,1,6.01
2017-06-25,1.45,4520.86,0,1490.94,0,3029.92,10,3019.92,0,1,6.01
2017-02-05,1.41,3626.55,398.22,4.01,0,3224.32,1155.56,2068.76,0,1,6.01
2017-09-24,2.24,8917.5,104.37,2500.14,0,6312.99,1601.56,4711.43,0,1,6.01
2017-05-07,1.57,3722.76,353.11,0,0,3369.65,2418.72,950.93,0,1,6.01
2017-12-24,1.67,237711.39,14885.87,33389.98,221.35,189214.19,186448.83,2765.36,0,1,6.01
2017-08-06,1.68,16939.38,6,281.35,0,16652.03,16652.03,0,0,1,6.01
2017-03-19,2.06,4382.2,1487.35,118.26,0,2776.59,1185.55,1591.04,0,1,6.01
2017-11-05,1.93,10290.71,2207.93,1811.7,0,6271.08,6267.02,4.06,0,1,6.01
2017-06-18,1.56,2644.9,225.97,110.98,0,2307.95,2304.62,3.33,0,1,6.01
2017-01-29,1.55,49505.09,4305.53,16857.63,935.56,27406.37,16105.53,11300.84,0,1,6.01
2017-09-17,2.92,10297.07,89.79,4298.97,161.11,5747.2,5319.2,428,0,1,6.01
2017-04-30,1.77,10361.33,597.65,5030.44,184.19,4549.05,3554.8,994.25,0,1,6.01
2017-12-17,1.72,7034.37,1965.07,2423.74,0,2645.56,2645.56,0,0,1,6.01
2017-07-30,2.37,12594.87,819.66,6870.21,0,4905,4871.67,33.33,0,1,6.01
2017-03-12,2.9,17686.1,6727.84,7914.27,0,3043.99,3043.99,0,0,1,6.01
2017-10-29,1.69,15261.11,132.44,2891.29,66.22,12171.16,10955.01,1216.15,0,1,6.01
2017-06-11,1.17,183857.14,38447.04,9085.51,0,136324.59,122121.81,14202.78,0,1,6.01
2017-01-22,1.36,58686.47,4163.56,12655.77,353.2,41513.94,21717.79,19796.15,0,1,6.01
2017-09-10,2.69,5157.52,101.21,1107.34,0,3948.97,101.11,3847.86,0,1,6.01
2017-04-23,2.08,3223.81,0,109.87,0,3113.94,958.29,2155.65,0,1,6.01
2017-12-10,1.54,1217680.36,94279.26,258003.98,1003.84,863843.93,647239.76,216359.41,244.76,1,6.01
2017-07-23,2.16,162321.68,29482.82,57477.12,1244.18,74117.56,36399.26,37715.36,2.94,1,6.01
2017-02-19,1.24,25777.67,2208.27,5671.84,35.6,17861.96,17821.27,40.69,0,1,6.01
2018-02-18,1.23,12131.04,542.58,103.62,0,11484.84,5283.46,6201.38,0,1,6.77
2018-02-11,1.34,28078.4,4681.33,437.65,0,22959.42,22690.02,269.4,0,1,6.77
2018-02-04,1.94,17404.84,142.97,8510.44,15.34,8736.09,8736.09,0,0,1,6.77
2018-01-28,1.48,3245.58,1.27,1036.16,0,2208.15,1853.15,355,0,1,6.77
2018-01-21,1.75,215742.94,11683.16,26922.85,162.73,176974.2,167900.81,9073.39,0,1,6.77
2018-01-14,1.73,63884.71,4071.65,16536.4,2.44,43274.22,29216.82,14057.4,0,1,6.77
2018-01-07,2.06,16746.82,5150.82,9366.31,0,2229.69,2229.69,0,0,1,6.77
2018-03-25,1.82,8210.37,1426.49,2452.5,0,4331.38,3427.78,903.6,0,1,6.77
